,TC,IMPORTE,IVA,RET ISR,RET IVA,TOTAL MX,TOTAL SAT
362,1.0,824.24,131.88,0.0,0.0,956.12,956.12
363,1.0,7500.0,1200.0,0.0,0.0,8700.0,8700.0
364,1.0,1950.0,312.0,0.0,0.0,2262.0,2262.0
365,1.0,26442.0,4230.72,0.0,0.0,30672.72,30672.72
366,1.0,239.3,38.29,0.0,0.0,277.59000000000003,277.59
367,1.0,400.0,64.0,0.0,0.0,464.0,464.0
368,1.0,2971.8,475.49,0.0,0.0,3447.29,3447.29
369,1.0,1450.2,232.03,0.0,0.0,1682.23,1682.23
370,1.0,407.7,65.23,0.0,0.0,472.93,472.93
371,1.0,459.31,73.49,0.0,0.0,532.8,532.8
372,1.0,154.67,24.73,0.0,0.0,179.39999999999998,179.4
373,1.0,9104.7,1456.75,0.0,546.28,10015.17,10015.17
374,1.0,52849.75,8455.96,0.0,0.0,61305.71,61305.71
375,1.0,18177.06,2908.33,0.0,1090.62,19994.77,19994.77
376,1.0,1459.59,233.53,0.0,0.0,1693.12,1693.12
377,1.0,3863.04,618.09,0.0,0.0,4481.13,4481.13
378,1.0,112.93,18.07,0.0,0.0,131.0,131.0
379,1.0,0.0,0.0,0.0,0.0,0.0,0.0
380,1.0,25839.51,4134.32,0.0,1550.37,28423.46,28423.46
381,1.0,3244.1,519.06,0.0,0.0,3763.16,3763.16
382,1.0,39207.0,6273.12,0.0,0.0,45480.12,45480.12
383,1.0,1306.0,208.96,0.0,0.0,1514.96,1514.96
384,1.0,4011.45,594.28,0.0,0.0,4605.73,4605.73
385,1.0,343.97,55.03,0.0,0.0,399.0,399.0
386,1.0,37.57,6.01,0.0,0.0,43.58,43.58
387,1.0,8040.0,1286.4,0.0,0.0,9326.4,9326.4
388,1.0,148.0,0.0,0.0,0.0,148.0,148.0
389,1.0,222.23,35.56,0.0,0.0,257.78999999999996,257.79
390,1.0,90.0,14.4,0.0,0.0,104.4,104.4
391,1.0,0.0,0.0,0.0,0.0,0.0,0.0
392,1.0,0.0,0.0,0.0,0.0,0.0,0.0
393,1.0,4449.6,711.94,0.0,0.0,5161.540000000001,5161.54
394,1.0,2040.0,326.4,0.0,0.0,2366.4,2366.4
395,1.0,1706.49,273.04,0.0,0.0,1979.53,1979.53
396,1.0,3615.2,578.43,0.0,0.0,4193.63,4193.63
397,1.0,200.0,32.0,0.0,0.0,232.0,232.0
398,1.0,0.0,0.0,0.0,0.0,0.0,0.0
399,1.0,30000.0,4800.0,3000.0,3200.0,28600.0,28600.0
400,1.0,64.47,10.31,0.0,0.0,74.78,74.78
401,1.0,15580.0,2492.8,0.0,0.0,18072.8,18072.8
402,1.0,3800.0,608.0,0.0,0.0,4408.0,4408.0
403,1.0,125.0,20.0,0.0,0.0,145.0,145.0
404,1.0,3000.0,480.0,0.0,0.0,3480.0,3480.0
405,1.0,2500.0,400.0,0.0,0.0,2900.0,2900.0
406,1.0,4792.0,766.72,0.0,0.0,5558.72,5558.72
407,1.0,250.0,0.0,0.0,0.0,250.0,250.0
408,1.0,0.0,0.0,0.0,0.0,0.0,0.0
409,1.0,891.0,0.0,0.0,0.0,891.0,891.0
410,1.0,210.0,33.6,0.0,0.0,243.6,243.6
411,1.0,424.63,65.76,0.0,0.0,490.39,490.39
412,1.0,154.06,24.65,0.0,0.0,178.71,178.71
413,1.0,2940.0,470.4,0.0,0.0,3410.4,3410.4
414,1.0,1204.5,192.72,0.0,0.0,1397.22,1397.22
415,1.0,0.0,0.0,0.0,0.0,0.0,0.0
416,1.0,2147.2,343.55,0.0,0.0,2490.75,2490.75
417,1.0,1553.57,248.57,0.0,62.14,1739.9999999999998,1740.0
418,1.0,0.0,0.0,0.0,0.0,0.0,0.0
419,1.0,0.0,0.0,0.0,0.0,0.0,0.0
420,1.0,4310.34,689.66,0.0,0.0,5000.0,5000.0
421,1.0,337.78,54.05,0.0,0.0,391.83,391.83
422,1.0,0.0,0.0,0.0,0.0,0.0,0.0
423,1.0,100.55,16.09,0.0,0.0,116.64,116.64
424,1.0,5850.0,936.0,0.0,0.0,6786.0,6786.0
425,1.0,0.0,0.0,0.0,0.0,0.0,0.0
426,1.0,0.0,0.0,0.0,0.0,0.0,0.0
427,1.0,12254.99,1960.82,0.0,0.0,14215.81,14215.81
428,1.0,7957.46,1273.19,0.0,0.0,9230.65,9230.65
429,1.0,435.0,69.6,0.0,0.0,504.6,504.6
430,1.0,10000.0,1600.0,0.0,0.0,11600.0,11600.0
431,1.0,0.0,0.0,0.0,0.0,0.0,1250.12
