,TC,Importe,IVA,RET ISR,RET IVA,TOTAL MX,TOTAL SAT,Tipo
372,1.0,1919.2,307.07,0.0,0.0,2226.27,2226.27,
373,1.0,989.18,158.27,0.0,0.0,1147.45,1147.45,
374,1.0,2030.29,324.85,0.0,0.0,2355.14,2355.14,
375,1.0,20302.86,0.0,0.0,0.0,20302.86,20302.86,
376,1.0,1362.52,218.01,0.0,0.0,1580.53,1580.53,
377,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
378,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
379,1.0,6600.0,1056.0,0.0,0.0,7656.0,7656.0,
380,1.0,676.87,108.3,0.0,0.0,785.17,785.17,
381,1.0,2663.0,426.08,0.0,0.0,3089.08,3089.08,
382,1.0,674.0,107.84,0.0,0.0,781.84,781.84,
383,1.0,26000.0,4160.0,2600.0,2773.34,24786.66,24786.66,
384,1.0,0.0,0.0,0.0,0.0,0.0,1706.45,
385,1.0,340.5,54.48,0.0,0.0,394.98,394.98,
386,1.0,517.24,82.76,0.0,0.0,600.0,600.0,
387,1.0,3309.05,529.45,0.0,0.0,3838.5,3838.5,
388,1.0,933.68,149.39,0.0,0.0,1083.07,1083.07,
389,1.0,7482.38,1197.18,0.0,0.0,8679.56,8679.56,
390,1.0,7333.4,1173.34,0.0,0.0,8506.74,8506.74,
391,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
392,1.0,4310.34,689.66,0.0,0.0,5000.0,5000.0,
393,1.0,0.0,0.0,0.0,0.0,0.0,305.0,
394,1.0,3750.0,600.0,0.0,0.0,4350.0,4350.0,
395,1.0,4290.0,686.4,0.0,0.0,4976.4,4976.4,
396,1.0,193.97,31.04,0.0,0.0,225.01,225.01,
397,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
398,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
399,1.0,480.0,76.8,0.0,0.0,556.8,556.8,
400,1.0,332.07000000000005,53.13,0.0,0.0,385.20000000000005,385.2,
401,1.0,18.97,3.03,0.0,0.0,22.0,22.0,
402,1.0,618.0,98.88,0.0,0.0,716.88,716.88,
403,1.0,156.0,0.0,0.0,0.0,156.0,156.0,
404,1.0,28740.0,4598.4,0.0,0.0,33338.4,33338.4,
405,1.0,136.21,21.79,0.0,0.0,158.0,158.0,
406,1.0,2390.0,382.4,0.0,0.0,2772.4,2772.4,
407,1.0,2704.0,432.64,0.0,0.0,3136.64,3136.64,
408,1.0,30000.0,4800.0,3000.0,3200.0,28600.0,28600.0,
409,1.0,3800.0,608.0,0.0,0.0,4408.0,4408.0,
410,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
